filename	SOURCE	CUE	CONTENT
wsj_0003.xml.conll.features.foreval	645,646	646,647	647,660
wsj_0003.xml.conll.features.foreval	129,132	132,133	134,167
wsj_0003.xml.conll.features.foreval	33,34	34,35	0,32
wsj_0003.xml.conll.features.foreval	203,212	202,203	188,202
wsj_0003.xml.conll.features.foreval	141,142	142,144	144,156
wsj_0003.xml.conll.features.foreval	702,703	703,706	706,714
wsj_0003.xml.conll.features.foreval	687,699	686,687	669,686
wsj_0003.xml.conll.features.foreval	285,287	287,288	270,284
wsj_0003.xml.conll.features.foreval	236,239	239,240	240,269
wsj_0003.xml.conll.features.foreval	347,349	349,350	328,346
wsj_0003.xml.conll.features.foreval	148,149	149,150	150,156
wsj_0003.xml.conll.features.foreval	541,543	543,544	526,540
wsj_0003.xml.conll.features.foreval	65,66	66,67	36,65
wsj_0004.xml.conll.features.foreval	96,98	94,96	73,93
wsj_0004.xml.conll.features.foreval		125,127	127,140
wsj_0004.xml.conll.features.foreval	153,154	151,153	154,166
wsj_0004.xml.conll.features.foreval		101,103	103,122
wsj_0004.xml.conll.features.foreval	181,190	180,181	178,179
wsj_0004.xml.conll.features.foreval	12,14	14,15	15,20
wsj_0007.xml.conll.features.foreval	0,3	3,4	4,26
wsj_0008.xml.conll.features.foreval	39,41	41,42	20,38
wsj_0008.xml.conll.features.foreval	105,107	107,108	108,122
wsj_0008.xml.conll.features.foreval		93,96	96,104
wsj_0010.xml.conll.features.foreval	54,56	56,57	57,70
wsj_0010.xml.conll.features.foreval	396,401	401,402	402,416
wsj_0010.xml.conll.features.foreval	284,286	286,288	288,302
wsj_0010.xml.conll.features.foreval		72,73	77,109
wsj_0011.xml.conll.features.foreval	22,24	20,22	0,19
wsj_0011.xml.conll.features.foreval	120,122	122,123	123,140
wsj_0011.xml.conll.features.foreval	27,35	35,36	36,41
wsj_0012.xml.conll.features.foreval	323,325	322,323	299,322
wsj_0012.xml.conll.features.foreval	252,254	254,255	255,276
wsj_0012.xml.conll.features.foreval	0,1	11,12	12,17
wsj_0012.xml.conll.features.foreval	368,372	366,368	373,426
wsj_0012.xml.conll.features.foreval	0,1	18,19	19,28
wsj_0012.xml.conll.features.foreval	295,298	293,295	277,292
wsj_0012.xml.conll.features.foreval	103,111	111,112	112,122
wsj_0012.xml.conll.features.foreval	184,186	186,190	190,194
wsj_0012.xml.conll.features.foreval	195,196	196,197	197,251
wsj_0013.xml.conll.features.foreval	412,413	413,414	403,412
wsj_0013.xml.conll.features.foreval	330,331	331,332	302,329
wsj_0013.xml.conll.features.foreval	260,262	262,264	264,272
wsj_0013.xml.conll.features.foreval	428,430	426,428	430,441
wsj_0013.xml.conll.features.foreval		17,18	19,33
wsj_0013.xml.conll.features.foreval	59,60	61,63	63,80
wsj_0013.xml.conll.features.foreval	442,443	450,452	452,459
wsj_0013.xml.conll.features.foreval	386,392	385,386	381,385
wsj_0013.xml.conll.features.foreval	223,224	224,225	225,228
wsj_0013.xml.conll.features.foreval	333,350	351,352	352,364
wsj_0013.xml.conll.features.foreval	147,151	156,157	157,166
wsj_0013.xml.conll.features.foreval	257,258	258,259	221,257
wsj_0013.xml.conll.features.foreval	399,401	401,402	365,398
wsj_0013.xml.conll.features.foreval	73,74	72,73	74,80
wsj_0013.xml.conll.features.foreval	299,300	300,301	273,298
wsj_0013.xml.conll.features.foreval	368,370	370,371	371,380
wsj_0013.xml.conll.features.foreval	121,122	122,123	117,121
wsj_0013.xml.conll.features.foreval	167,180	180,181	181,220
wsj_0013.xml.conll.features.foreval	442,443	443,444	444,480
wsj_0015.xml.conll.features.foreval	487,489	489,490	490,514
wsj_0015.xml.conll.features.foreval	160,161	169,171	171,176
wsj_0015.xml.conll.features.foreval	107,109	117,118	118,135
wsj_0015.xml.conll.features.foreval	157,159	159,160	160,176
wsj_0015.xml.conll.features.foreval	310,313	313,314	314,330
wsj_0015.xml.conll.features.foreval	64,69	69,70	71,106
wsj_0015.xml.conll.features.foreval	352,356	356,357	359,371
wsj_0015.xml.conll.features.foreval		534,536	536,546
wsj_0015.xml.conll.features.foreval	222,224	224,225	225,236
wsj_0015.xml.conll.features.foreval	332,334	347,348	348,351
wsj_0015.xml.conll.features.foreval	107,109	109,110	110,116
wsj_0015.xml.conll.features.foreval	200,202	202,203	203,218
wsj_0015.xml.conll.features.foreval	47,49	49,50	50,63
wsj_0015.xml.conll.features.foreval	398,400	400,401	401,425
wsj_0015.xml.conll.features.foreval	237,241	241,242	242,267
wsj_0015.xml.conll.features.foreval	153,155	155,156	136,153
wsj_0015.xml.conll.features.foreval	475,479	479,481	481,485
wsj_0015.xml.conll.features.foreval		3,5	5,29
