filename	SOURCE	CUE	CONTENT
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	24,25	25,26	26,43
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	46,47	47,50	50,51
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	92,93	93,99	99,109
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	121,122	122,123	123,141
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	150,151	151,152	157,165
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	176,177	177,178	178,204
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	351,352	352,353	354,372
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	405,406	406,407	407,418
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	433,438	438,439	440,505
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	678,679	679,684	684,720
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	720,721	721,723	723,788
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	793,794	794,795	799,805
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	929,930	930,933	934,955
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	961,970	957,961	971,980
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	1033,1035	1035,1038	1038,1046
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	1092,1093	1093,1094	1094,1109
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	1122,1125	1134,1135	1136,1145
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	1301,1302	1302,1304	1305,1313
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	1336,1344	1344,1347	1347,1356
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	1356,1358	1358,1360	1360,1364
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	1389,1402	1383,1385	1403,1416
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	1424,1426	1419,1424	1418,1419
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	1456,1457	1457,1459	1452,1455
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	1482,1483	1483,1484	1484,1486
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	1500,1501	1501,1503	1503,1516
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	1525,1528	1524,1525	1536,1551
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	1649,1650	1650,1651	1651,1654
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	1664,1666	1666,1667	1667,1672
breitbart_2015-11-11_the-ninth-circle-the-hellish-vie.xml.conll.features.foreval	1674,1675	1688,1693	1693,1713
breitbart_2015-11-16_o-malley-campaign-to-shift-staff.xml.conll.features.foreval	35,38	38,39	39,51
breitbart_2015-11-16_o-malley-campaign-to-shift-staff.xml.conll.features.foreval	52,55	55,56	56,73
breitbart_2015-11-16_o-malley-campaign-to-shift-staff.xml.conll.features.foreval	93,94	94,101	101,103
breitbart_2015-11-16_o-malley-campaign-to-shift-staff.xml.conll.features.foreval	134,135	135,136	136,154
breitbart_2015-11-16_o-malley-campaign-to-shift-staff.xml.conll.features.foreval	161,162	157,161	154,157
breitbart_2015-11-17_wash-post-fact-check-if-obama-sa.xml.conll.features.foreval	62,68	68,70	70,88
breitbart_2015-11-17_wash-post-fact-check-if-obama-sa.xml.conll.features.foreval	99,106	98,99	88,97
breitbart_2015-11-17_wash-post-fact-check-if-obama-sa.xml.conll.features.foreval	249,250	250,251	251,257
breitbart_2015-11-17_wash-post-fact-check-if-obama-sa.xml.conll.features.foreval	296,298	298,299	301,312
breitbart_2015-11-17_wash-post-fact-check-if-obama-sa.xml.conll.features.foreval		318,321	321,324
breitbart_2015-11-17_wash-post-fact-check-if-obama-sa.xml.conll.features.foreval	558,561	561,563	563,566
breitbart_2015-11-17_wash-post-fact-check-if-obama-sa.xml.conll.features.foreval	567,569	569,571	571,581
breitbart_2015-11-17_wash-post-fact-check-if-obama-sa.xml.conll.features.foreval	414,420	429,430	430,447
breitbart_2015-11-17_wash-post-fact-check-if-obama-sa.xml.conll.features.foreval	458,463	476,477	477,487
breitbart_2015-11-17_wash-post-fact-check-if-obama-sa.xml.conll.features.foreval	107,111	114,116	116,136
breitbart_2015-11-17_wash-post-fact-check-if-obama-sa.xml.conll.features.foreval	0,3	3,4	4,12
breitbart_2015-11-17_wash-post-fact-check-if-obama-sa.xml.conll.features.foreval	317,318	359,360	360,384
breitbart_2015-11-17_wash-post-fact-check-if-obama-sa.xml.conll.features.foreval	187,188	188,191	191,244
breitbart_2015-11-17_wash-post-fact-check-if-obama-sa.xml.conll.features.foreval	137,140	140,143	143,156
breitbart_2015-11-17_wash-post-fact-check-if-obama-sa.xml.conll.features.foreval	14,15	15,19	19,24
breitbart_2015-11-18_ny-daily-news-paris-terror-attac.xml.conll.features.foreval	0,3	3,4	4,12
breitbart_2015-11-18_ny-daily-news-paris-terror-attac.xml.conll.features.foreval	17,22	22,23	23,41
breitbart_2015-11-18_ny-daily-news-paris-terror-attac.xml.conll.features.foreval	76,79	79,80	80,102
breitbart_2015-11-18_ny-daily-news-paris-terror-attac.xml.conll.features.foreval	103,104	104,108	108,123
breitbart_2015-11-18_ny-daily-news-paris-terror-attac.xml.conll.features.foreval	126,128	124,126	129,177
breitbart_2015-11-18_ny-daily-news-paris-terror-attac.xml.conll.features.foreval	185,188	188,190	190,244
breitbart_2015-11-18_ny-daily-news-paris-terror-attac.xml.conll.features.foreval	245,246	246,248	248,251
breitbart_2015-11-18_ny-daily-news-paris-terror-attac.xml.conll.features.foreval	290,292	292,295	295,332
breitbart_2015-11-18_ny-daily-news-paris-terror-attac.xml.conll.features.foreval		357,360	348,357
breitbart_2015-11-18_ny-daily-news-paris-terror-attac.xml.conll.features.foreval	407,411	411,416	416,418
breitbart_2015-11-18_ny-daily-news-paris-terror-attac.xml.conll.features.foreval	422,424	424,426	426,506
breitbart_2015-11-18_ny-daily-news-paris-terror-attac.xml.conll.features.foreval	518,527	527,528	515,518
breitbart_2015-11-18_ny-daily-news-paris-terror-attac.xml.conll.features.foreval	552,553	553,555	555,557
breitbart_2015-11-18_ny-daily-news-paris-terror-attac.xml.conll.features.foreval	565,568	568,569	569,576
breitbart_2015-11-19_exclusive-excerpt-dinesh-d-souza.xml.conll.features.foreval	84,85	85,88	88,93
breitbart_2015-11-19_exclusive-excerpt-dinesh-d-souza.xml.conll.features.foreval	94,96	101,103	103,107
breitbart_2015-11-19_exclusive-excerpt-dinesh-d-souza.xml.conll.features.foreval	114,115	115,116	116,127
breitbart_2015-11-19_exclusive-excerpt-dinesh-d-souza.xml.conll.features.foreval	129,130	130,131	131,135
breitbart_2015-11-19_exclusive-excerpt-dinesh-d-souza.xml.conll.features.foreval	145,146	146,148	136,144
breitbart_2015-11-19_exclusive-excerpt-dinesh-d-souza.xml.conll.features.foreval	191,192	192,193	194,222
breitbart_2015-11-19_exclusive-excerpt-dinesh-d-souza.xml.conll.features.foreval	222,223	223,224	225,242
breitbart_2015-11-19_exclusive-excerpt-dinesh-d-souza.xml.conll.features.foreval	242,244	248,249	249,261
breitbart_2015-11-19_exclusive-excerpt-dinesh-d-souza.xml.conll.features.foreval	266,267	267,268	262,266
breitbart_2015-11-19_exclusive-excerpt-dinesh-d-souza.xml.conll.features.foreval	305,306	306,307	307,334
