lemma,cue_label,baseline
no,0,0
",",0,0
it,0,0
be,0,0
not,0,0
black,0,0
Monday,0,0
.,0,0
but,0,0
while,0,0
the,0,0
New,0,0
York,0,0
stock,0,0
Exchange,0,0
do,0,0
not,0,0
fall,0,0
apart,0,0
Friday,0,0
as,0,0
the,0,0
Dow,0,0
Jones,0,0
Industrial,0,0
average,0,0
plunge,0,0
190.58,0,0
point,0,0
--,0,0
most,0,0
of,0,1
it,0,0
in,0,0
the,0,0
final,0,0
hour,0,0
--,0,0
it,0,0
barely,0,0
manage,0,0
to,0,0
stay,0,0
this,0,0
side,0,0
of,0,1
chaos,0,0
.,0,0
some,0,0
``,0,0
circuit,0,0
breaker,0,0
'',0,0
install,0,0
after,0,0
the,0,0
October,0,0
1987,0,0
crash,0,0
fail,0,0
they,0,0
first,0,0
test,0,0
",",0,0
trader,0,0
say,1,1
",",0,0
unable,0,0
to,0,0
cool,0,0
the,0,0
sell,0,0
panic,0,0
in,0,0
both,0,0
stock,0,0
and,0,0
future,0,0
.,0,0
the,0,0
49,0,0
stock,0,0
specialist,0,0
firm,0,0
on,0,0
the,0,0
Big,0,0
Board,0,0
floor,0,0
--,0,0
the,0,0
buyer,0,0
and,0,0
seller,0,0
of,0,1
last,0,0
resort,0,0
who,0,0
be,0,0
criticize,0,0
after,0,0
the,0,0
1987,0,0
crash,0,0
--,0,0
once,0,0
again,0,0
could,0,0
not,0,0
handle,0,0
the,0,0
sell,0,0
pressure,0,0
.,0,0
big,0,0
investment,0,0
bank,0,0
refuse,0,0
to,0,0
step,0,0
up,0,0
to,0,0
the,0,0
plate,0,0
to,0,0
support,0,0
the,0,0
beleaguer,0,0
floor,0,0
trader,0,0
by,0,0
buy,0,0
big,0,0
block,0,0
of,0,1
stock,0,0
",",0,0
trader,0,0
say,1,1
.,0,0
heavy,0,0
sell,0,0
of,0,1
Standard,0,0
&amp;,0,0
poor,0,0
's,0,0
500-stock,0,0
index,0,0
future,0,0
in,0,0
Chicago,0,0
relentlessly,0,0
beat,0,0
stock,0,0
downward,0,0
.,0,0
Seven,0,0
big,0,0
board,0,0
stock,0,0
--,0,0
UAL,0,0
",",0,0
AMR,0,0
",",0,0
BankAmerica,0,0
",",0,0
Walt,0,0
Disney,0,0
",",0,0
Capital,0,0
Cities\/ABC,0,0
",",0,0
Philip,0,0
Morris,0,0
and,0,0
Pacific,0,0
Telesis,0,0
Group,0,0
--,0,0
stop,0,0
trading,0,0
and,0,0
never,0,0
resume,0,0
.,0,0
the,0,0
finger-pointing,0,0
have,0,0
already,0,0
begin,0,0
.,0,0
``,0,0
the,0,0
equity,0,0
market,0,0
be,0,0
illiquid,0,0
.,0,0
once,0,0
again,0,0
-lcb-,0,0
the,0,0
specialist,0,0
-rcb-,0,0
be,0,0
not,0,0
able,0,0
to,0,0
handle,0,0
the,0,0
imbalance,0,0
on,0,0
the,0,0
floor,0,0
of,0,1
the,0,0
New,0,0
York,0,0
stock,0,0
Exchange,0,0
",",0,0
'',0,0
say,1,1
Christopher,0,0
Pedersen,0,0
",",0,0
senior,0,0
vice,0,0
president,0,0
at,0,0
Twenty-First,0,0
Securities,0,0
Corp,0,0
.,0,0
counter,1,0
James,0,0
Maguire,0,0
",",0,0
chairman,0,0
of,0,1
specialist,0,0
Henderson,0,0
Brothers,0,0
Inc.,0,0
:,0,0
``,0,0
it,0,0
be,0,0
easy,0,0
to,0,0
say,0,1
the,0,0
specialist,0,0
be,0,0
not,0,0
do,0,0
he,0,0
job,0,0
.,0,0
when,0,0
the,0,0
dollar,0,0
be,0,0
in,0,0
