lemma,cue_label,baseline
Washington,0,0
Post,0,0
back,1,0
Hillary,0,0
Clinton,0,0
for,0,0
president,0,0
.,0,0
Washington,0,0
-LRB-,0,0
AFP,0,0
-RRB-,0,0
--,0,0
the,0,0
Washington,0,0
Post,0,0
on,0,0
Thursday,0,0
become,0,0
the,0,0
latest,0,0
US,0,0
newspaper,0,0
to,0,0
emphatically,0,0
endorse,1,0
Hillary,0,0
Clinton,0,0
for,0,0
the,0,0
White,0,0
House,0,0
",",0,0
say,1,1
it,0,0
be,0,0
sway,0,0
as,0,0
much,0,0
by,0,0
she,0,0
competence,0,0
as,0,0
by,0,0
the,0,0
alarming,0,0
specter,0,0
of,0,1
a,0,0
Donald,0,0
Trump,0,0
presidency,0,0
.,0,0
``,0,0
Hillary,0,0
Clinton,0,0
have,0,0
the,0,0
potential,0,0
to,0,0
be,0,0
a,0,0
excellent,0,0
president,0,0
of,0,1
the,0,0
United,0,0
States,0,0
",",0,0
and,0,0
we,0,0
endorse,0,0
she,0,0
without,0,0
hesitation,0,0
",",0,0
'',0,0
the,0,0
influential,0,0
US,0,0
daily,0,0
write,1,1
",",0,0
add,1,0
",",0,0
``,0,0
no,0,0
",",0,0
we,0,0
be,0,0
not,0,0
make,0,0
this,0,0
endorsement,0,0
simply,0,0
because,0,0
Ms,0,0
Clinton,0,0
's,0,0
chief,0,0
opponent,0,0
be,0,0
dreadful,0,0
.,0,0
'',0,0
Clinton,0,0
",",0,0
the,0,0
democratic,0,0
presidential,0,0
nominee,0,0
``,0,0
be,0,0
dog,0,0
",",0,0
resilient,0,0
",",0,0
purposeful,0,0
and,0,0
smart,0,0
",",0,0
'',0,0
the,0,0
newspaper,0,0
write,1,1
while,0,0
acknowledge,1,1
she,0,0
many,0,0
political,0,0
and,0,0
personal,0,0
misstep,0,0
of,0,1
the,0,0
past,0,0
--,0,0
failing,0,0
it,0,0
say,1,1
be,0,0
outweigh,0,0
by,0,0
she,0,0
strength,0,0
.,0,0
``,0,0
she,0,0
have,0,0
executive,0,0
experience,0,0
.,0,0
she,0,0
do,0,0
not,0,0
let,0,0
she,0,0
feeling,0,0
get,0,0
in,0,0
the,0,0
way,0,0
of,0,1
the,0,0
job,0,0
at,0,0
hand,0,0
.,0,0
she,0,0
be,0,0
well,0,0
position,0,0
to,0,0
get,0,0
something,0,0
do,0,0
",",0,0
'',0,0
the,0,0
daily,0,0
write,1,1
.,0,0
the,0,0
newspaper,0,0
take,0,0
note,0,1
of,1,1
the,0,0
former,0,0
first,0,0
lady,0,0
's,0,0
litany,0,0
of,0,1
shortcoming,0,0
