	occurrences_as_cue	total_occurrences	ratio
,	5	54944	0.0
old	1	269	0.004
will	1	3829	0.0
as	2	5164	0.0
be	36	26743	0.001
of	5	25852	0.0
to	370	24958	0.015
make	3	1749	0.002
have	8	9508	0.001
it	2	6578	0.0
ago	1	507	0.002
report	269	1072	0.251
that	5	9445	0.001
show	59	574	0.103
up	3	1901	0.002
say	8107	9660	0.839
in	4	19097	0.0
result	1	674	0.001
's	2	9829	0.0
likely	1	292	0.003
problem	1	579	0.002
``	4	7834	0.001
story	1	115	0.009
talk	14	333	0.042
about	2	2361	0.001
hear	1	103	0.01
now	1	930	0.001
aware	2	35	0.057
on	11	6041	0.002
at	1	5238	0.0
from	2	5014	0.0
for	21	9520	0.002
--	1	2255	0.0
expect	367	1096	0.335
include	2	1009	0.002
recently	2	301	0.007
diagnose	1	5	0.2
rate	2	1201	0.002
by	19	5146	0.004
under	32	769	0.042
support	8	347	0.023
argue	103	138	0.746
should	1	485	0.002
find	70	434	0.161
do	2	2550	0.001
not	19	5148	0.004
reject	11	114	0.096
explain	41	105	0.39
impose	3	68	0.044
ban	2	108	0.019
describe	26	85	0.306
over	4	1006	0.004
part	1	602	0.002
question	33	269	0.123
recognize	5	57	0.088
place	1	289	0.003
force	4	408	0.01
continue	7	703	0.01
decline	40	700	0.057
interest	5	850	0.006
point	6	640	0.009
assume	20	112	0.179
think	159	534	0.298
indicate	60	198	0.303
permit	4	78	0.051
consider	61	337	0.181
capture	1	24	0.042
only	5	1084	0.005
may	1	887	0.001
bill	1	530	0.002
go	1	936	0.001
well	1	509	0.002
heavily	1	77	0.013
hold	10	598	0.017
approve	22	216	0.102
approval	4	167	0.024
authority	1	113	0.009
issue	1	1031	0.001
vote	1	241	0.004
raise	2	425	0.005
then	1	478	0.002
position	1	320	0.003
like	5	610	0.008
decide	29	195	0.149
idea	8	126	0.063
:	33	1517	0.022
decision	4	263	0.015
good	1	410	0.002
message	2	51	0.039
could	2	1206	0.002
welcome	1	31	0.032
out	53	1145	0.046
sponsor	1	50	0.02
back	5	638	0.008
know	65	476	0.137
give	5	657	0.008
reflect	1	265	0.004
figure	27	289	0.093
release	2	146	0.014
stand	1	160	0.006
dispute	2	95	0.021
would	1	2571	0.0
forecast	16	120	0.133
record	1	337	0.003
try	6	428	0.014
announce	152	326	0.466
introduce	3	153	0.02
plan	98	1136	0.086
offer	31	994	0.031
maintain	22	138	0.159
news	11	268	0.041
underscore	1	20	0.05
guarantee	3	152	0.02
yet	1	288	0.003
credit	1	340	0.003
attempt	10	182	0.055
what	1	824	0.001
without	4	314	0.013
however	1	453	0.002
justify	1	27	0.037
propose	39	264	0.148
reorganization	1	73	0.014
